Simulation Total Time;1792189
Total Number of Sensed Events by the WSN;63629
Number of Sensed Events by the WSN per Day
1;3224
2;3281
3;3186
4;3177
5;3250
6;3261
7;3220
8;3270
9;3229
10;3303
11;3220
12;3224
13;3224
14;3235
15;3225
16;3270
17;3250
18;3236
19;3267
20;2077
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node0;0;63023;21103;1;2857;1773706,715333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node1;0;110023;44777;1;3171;1721231,338
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node2;0;225398;68424;1;3131;1727756,122666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node3;0;156966;160105;0;3140;1725706,036665
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node4;0;225026;68048;1;3127;1728425,045333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node5;0;109353;44465;0;3149;1724899,876666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node6;0;62736;21097;1;2826;1778873,418
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node7;0;56700;18246;0;3160;1723223,857333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node8;0;99205;20580;0;3521;1663043,186666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node9;0;125564;20516;0;3524;1662543,570666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node10;0;216407;20501;0;3461;1673043,660666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node11;0;124997;20456;0;3461;1673043,930666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node12;0;98513;20326;0;3484;1669211,377333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node13;0;56500;18271;1;3120;1729890,374
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node14;0;47419;15149;0;3062;1739575,772666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node15;0;65812;17086;0;3496;1667230,817333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node16;0;68170;17014;1;3486;1668897,916
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node17;0;67973;17040;0;3509;1665064,426666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node18;0;67834;16995;0;3485;1669064,696666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node19;0;65392;16866;1;3441;1676398,804
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node20;0;47243;15170;1;3064;1739242,313333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node21;0;37734;12087;1;3086;1735594,144667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node22;0;52409;13592;0;3493;1667751,781333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node23;0;54117;13528;1;3518;1663585,498667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node24;0;54042;13531;1;3520;1663252,147333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node25;0;53941;13510;1;3496;1667252,273333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node26;0;52141;13441;0;3404;1682586,020666
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node27;0;37608;12106;0;3102;1732927,364
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node28;0;27999;9001;1;3167;1722112,660667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node29;0;38992;10106;0;3475;1670772,697333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node30;0;40198;10027;1;3474;1670939,838
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node31;0;40003;10011;0;3524;1662606,600667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node32;0;40076;10014;0;3496;1667273,249333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node33;0;38526;10037;1;3527;1662106,444667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node34;0;28016;9004;0;3125;1729112,642667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node35;0;18259;5834;1;3197;1717131,662667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node36;0;25314;6631;0;3551;1658126,880667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node37;0;26143;6553;0;3530;1661627,348667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node38;0;26103;6509;1;3488;1668627,612667
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node39;0;26069;6518;1;3498;1666960,892
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node40;0;25281;6538;0;3487;1668794,105333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node41;0;18262;5879;0;3153;1724464,726
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node42;0;9026;2749;1;2749;1791816,839333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node43;0;12394;3192;0;3192;1717980,848
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node44;0;12887;3139;0;3139;1726814,499333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node45;0;12787;3142;0;3142;1726314,481333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node46;0;12822;3139;1;3139;1726814,499333
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node47;0;12397;3162;0;3162;1722981,028
eboracum.wsn.network.node.sensor.SimpleWSNNode;Node48;0;9041;2813;1;2813;1781149,788667
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;67231;0
