Simulation Total Time;9000000
Total Number of Sensed Events by the WSN;0
Number of Sensed Events by the WSN per Day
1;0
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node0;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node1;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node2;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node3;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node4;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node5;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node6;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node7;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node8;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node9;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node10;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node11;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node12;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node13;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node14;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node15;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node16;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node17;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node18;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node19;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node20;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node21;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node22;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node23;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node24;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node25;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node26;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node27;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node28;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node29;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node30;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node31;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node32;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node33;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node34;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node35;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node36;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node37;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node38;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node39;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node40;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node41;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node42;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node43;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node44;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node45;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node46;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node47;0;0;0;0;0;9000000
eboracum.wsn.network.node.sensor.controlled.GreedyWSNNode;Node48;0;0;0;0;0;9000000
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;420629;0
